"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User login with wrong email or password","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","Tue Nov 11 15:23:32 UTC 2025","broken","Tue Nov 11 15:23:32 UTC 2025","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Courses","Courses","",""
"","0","Edit course","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Courses","Courses","",""
"","0","Check displaying of dashboard","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Dashboard","Dashboard","",""
"","0","test_logout","tests","Tue Nov 11 15:23:33 UTC 2025","passed","Tue Nov 11 15:23:33 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests","Tue Nov 11 15:23:33 UTC 2025","passed","Tue Nov 11 15:23:33 UTC 2025","","test_markers","",""
"","0","Create course","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Authorization","Authentication","",""
"","0","test_login","tests","Tue Nov 11 15:23:33 UTC 2025","passed","Tue Nov 11 15:23:33 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests","Tue Nov 11 15:23:33 UTC 2025","passed","Tue Nov 11 15:23:33 UTC 2025","","test_markers","",""
"","0","Registration with correct email, username and password","LMS system","Tue Nov 11 15:23:33 UTC 2025","broken","Tue Nov 11 15:23:33 UTC 2025","Registration","Authentication","",""
"","0","test_forgot_password_link","tests","Tue Nov 11 15:23:33 UTC 2025","passed","Tue Nov 11 15:23:33 UTC 2025","TestUserInterface","test_markers","",""
"","0","User login with wrong email or password","LMS system","Tue Nov 11 15:23:32 UTC 2025","broken","Tue Nov 11 15:23:32 UTC 2025","Authorization","Authentication","",""
"","1","test_password_reset","tests","Tue Nov 11 15:23:33 UTC 2025","passed","Tue Nov 11 15:23:33 UTC 2025","TestUserAuthentication","test_markers","",""
