"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2378","Navigation from login page to registration page","LMS system","Tue Nov 11 17:31:39 UTC 2025","passed","Tue Nov 11 17:31:41 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:48 UTC 2025","","test_markers","",""
"","14575","Edit course","LMS system","Tue Nov 11 17:31:50 UTC 2025","passed","Tue Nov 11 17:32:05 UTC 2025","Courses","Courses","",""
"","2410","Check displaying of dashboard","LMS system","Tue Nov 11 17:31:45 UTC 2025","passed","Tue Nov 11 17:31:47 UTC 2025","Dashboard","Dashboard","",""
"","7498","User login with correct email and password","LMS system","Tue Nov 11 17:31:31 UTC 2025","passed","Tue Nov 11 17:31:39 UTC 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:48 UTC 2025","TestUserInterface","test_markers","",""
"","3644","User login with wrong email or password","LMS system","Tue Nov 11 17:31:35 UTC 2025","passed","Tue Nov 11 17:31:39 UTC 2025","Authorization","Authentication","",""
"","3673","User login with wrong email or password","LMS system","Tue Nov 11 17:31:39 UTC 2025","passed","Tue Nov 11 17:31:43 UTC 2025","Authorization","Authentication","",""
"","0","test_regression_case","tests","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:48 UTC 2025","","test_markers","",""
"","2130","Check displaying of empty courses list","LMS system","Tue Nov 11 17:31:43 UTC 2025","passed","Tue Nov 11 17:31:45 UTC 2025","Courses","Courses","",""
"","4255","Registration with correct email, username and password","LMS system","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:52 UTC 2025","Registration","Authentication","",""
"","0","test_password_reset","tests","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:48 UTC 2025","TestUserAuthentication","test_markers","",""
"","8060","Create course","LMS system","Tue Nov 11 17:31:42 UTC 2025","passed","Tue Nov 11 17:31:50 UTC 2025","Courses","Courses","",""
"","0","test_login","tests","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:48 UTC 2025","TestUserAuthentication","test_markers","",""
"","3836","User login with wrong email or password","LMS system","Tue Nov 11 17:31:31 UTC 2025","passed","Tue Nov 11 17:31:35 UTC 2025","Authorization","Authentication","",""
"","0","test_logout","tests","Tue Nov 11 17:31:48 UTC 2025","passed","Tue Nov 11 17:31:48 UTC 2025","TestUserAuthentication","test_markers","",""
