"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2391","Navigation from login page to registration page","LMS system","Thu Dec 11 21:11:21 UTC 2025","passed","Thu Dec 11 21:11:23 UTC 2025","Authorization","Authentication","",""
"","3694","User login with wrong email or password","LMS system","Thu Dec 11 21:11:17 UTC 2025","passed","Thu Dec 11 21:11:21 UTC 2025","Authorization","Authentication","",""
"","14713","Edit course","LMS system","Thu Dec 11 21:11:26 UTC 2025","passed","Thu Dec 11 21:11:40 UTC 2025","Courses","Courses","",""
"","3901","User login with wrong email or password","LMS system","Thu Dec 11 21:11:13 UTC 2025","passed","Thu Dec 11 21:11:17 UTC 2025","Authorization","Authentication","",""
"","2119","Check displaying of dashboard","LMS system","Thu Dec 11 21:11:33 UTC 2025","passed","Thu Dec 11 21:11:35 UTC 2025","Dashboard","Dashboard","",""
"","2048","Check displaying of empty courses list","LMS system","Thu Dec 11 21:11:23 UTC 2025","passed","Thu Dec 11 21:11:25 UTC 2025","Courses","Courses","",""
"","7500","User login with correct email and password","LMS system","Thu Dec 11 21:11:13 UTC 2025","passed","Thu Dec 11 21:11:20 UTC 2025","Authorization","Authentication","",""
"","4200","Registration with correct email, username and password","LMS system","Thu Dec 11 21:11:41 UTC 2025","passed","Thu Dec 11 21:11:45 UTC 2025","Registration","Authentication","",""
"","3681","User login with wrong email or password","LMS system","Thu Dec 11 21:11:20 UTC 2025","passed","Thu Dec 11 21:11:24 UTC 2025","Authorization","Authentication","",""
"","8048","Create course","LMS system","Thu Dec 11 21:11:24 UTC 2025","passed","Thu Dec 11 21:11:32 UTC 2025","Courses","Courses","",""
